raiting,name,data,epis,isreal,reit,score,leng,studio,Avant-garde,Gourmet,Drama,Comedy,Slice of Life,Adventure,Romance,Supernatural,Sports,Mystery,Thriller,Horror,Science Fiction,Fantasy,Action,Ecchi,Erotica,Hentai,Shounen,Shoujo,Seinen,Josei,Kids
36,Госпожа Кагуя: в любви как на войне — Первый поцелуй никогда не заканчивается,2022,1,True,PG-13,8.75,96,Pictures,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,Ковбой Бибоп,1998,26,True,R+,8.75,24,Sunrise,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
38,"Клинок, рассекающий демонов: Квартал красных фонарей",2021,11,True,R-17,8.74,26,ufotable,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
39,"Звучи, эуфониум! 3",2024,13,True,PG-13,8.74,24,Kyoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Агент времени,2021,11,True,PG-13,8.73,23,LAN,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Царство 4,2022,26,True,R-17,8.74,24,Pierrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
42,Завтрашний Джо 2,1980,47,True,PG-13,8.73,24,Shinsha,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,Царство 5,2024,13,True,R-17,8.73,24,Pierrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
44,Мастер муси: Следующая глава 2,2014,10,True,PG-13,8.72,23,Artland,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45,Сёва-Гэнроку: Двойное самоубийство по ракуго 2,2017,12,True,PG-13,8.71,24,Deen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,Ван-Пис,1999,1122 / ?,False,PG-13,8.73,24,Toei,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
47,Моб Психо 100 3,2022,12,True,PG-13,8.71,23,Bones,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,Восемьдесят шесть. Часть 2,2021,12,True,R-17,8.71,23,Pictures,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
49,Код Гиас: Восставший Лелуш,2006,25,True,R+,8.7,24,Sunrise,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
50,Дандадан,2024,11 / 12,False,R-17,8.7,23,SARU,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
51,Вайолет Эвергарден,2018,13,True,PG-13,8.68,24,Kyoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Магистр дьявольского культа 3,2021,12,True,R-17,8.68,24,PICTURES,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
53,Бродяга Кэнсин: Воспоминания,1999,4,True,R-17,8.7,29,Deen,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
54,Мастер муси: Следующая глава,2014,10,True,PG-13,8.69,24,Artland,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
55,Тетрадь дружбы Нацумэ 7,2024,10 / 12,False,PG-13,8.67,23,Shuka,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,Реинкарнация безработного: История о приключениях в другом мире. Часть 2,2021,12,True,R-17,8.66,23,Bind,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
57,Случайное такси,2021,13,True,PG-13,8.66,23,OLM,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
58,Волейбол!! Решающая игра на свалке,2024,1,True,PG-13,8.63,84,I.G,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,Принцесса Мононоке,1997,1,True,PG-13,8.66,133,Ghibli,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
60,Мастер муси,2005,26,True,PG-13,8.65,23,Artland,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
61,Созданный в Бездне,2017,13,True,R-17,8.64,25,Citrus,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
62,Великий из бродячих псов 5,2023,11,True,R-17,8.63,23,Bones,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
63,Твоя апрельская ложь,2014,22,True,PG-13,8.64,22,Pictures,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,Атака титанов 3,2018,12,True,R-17,8.63,23,Wit,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
65,Агент времени 2,2023,12,True,R-17,8.63,24,LAN,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66,Госпожа Кагуя: в любви как на войне 2,2020,12,True,PG-13,8.63,24,Pictures,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,"Гуррен-Лаганн, пронзающий небеса",2007,27,True,PG-13,8.63,24,Gainax,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
68,Волейбол!! 2,2015,25,True,PG-13,8.62,24,I.G,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,"Созданный в Бездне: Солнце, вспыхнувшее в Золотом городе",2022,12,True,R-17,8.62,25,Citrus,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
70,Тетрадь смерти,2006,1,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Пинг-понг,2014,11,True,PG-13,8.62,23,Tatsunoko,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,Ребёнок идола,2023,11,True,PG-13,8.61,30,Kobo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73,Киберпанк: Бегущие по краю,2022,10,True,R+,8.61,25,Trigger,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
74,Исчезновение Харухи Судзумии,2010,1,True,PG-13,8.6,161,Kyoto,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
75,Первый шаг: Восхождение,2013,25,True,PG-13,8.6,22,Madhouse,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,Мастер муси: Следующая глава — Капли колокольчиков,2015,1,True,PG-13,8.58,47,Artland,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
77,Невероятное приключение ДжоДжо: Золотой ветер,2018,39,True,R-17,8.58,23,David,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
78,Этот глупый свин не понимает мечту девочки-мечтательницы,2019,1,True,PG-13,8.59,90,CloverWorks,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Магическая битва,2020,24,True,R-17,8.58,23,MAPPA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
80,"Клинок, рассекающий демонов: Бесконечный поезд. Фильм",2020,1,True,R-17,8.57,116,ufotable,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
81,Берсерк,1997,25,True,R+,8.59,23,OLM,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
82,Гуррен-Лаганн: Звёздный свет,2009,1,True,R+,8.59,125,Gainax,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
83,Нана,2006,47,True,R+,8.56,22,Madhouse,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,Волчьи дети Амэ и Юки,2012,1,True,PG-13,8.56,117,Chizu,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Я хочу съесть твою поджелудочную,2018,1,True,PG-13,8.55,108,VOLN,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Идеальная грусть,1998,1,True,R+,8.55,81,Madhouse,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
87,Атака титанов,2013,25,True,R-17,8.55,24,Wit,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
88,Евангелион нового поколения: Конец Евангелиона,1997,1,True,R+,8.55,86,Gainax,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
89,Слэм-данк,1993,101,True,PG-13,8.55,23,Toei,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,Сказ о четырёх с половиной татами,2010,11,True,R-17,8.55,22,Madhouse,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
91,Достучаться до тебя 3,2024,5,True,PG-13,8.54,66,I.G,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,Судьба/Начало 2,2012,12,True,R-17,8.54,24,ufotable,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
93,"Мастер муси: Тень, поглотившая Солнце",2014,1,True,PG-13,8.53,45,Artland,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
94,Призрак в доспехах: Синдром одиночки 2,2004,26,True,R-17,8.52,25,I.G,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
95,Бакуман 3,2012,25,True,PG-13,8.52,24,J.C.Staff,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,Девичья опера: Свет ревю. Фильм,2021,1,True,PG-13,8.52,120,Citrus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Гинтама: Сказание о Бэнидзакуре,2010,1,True,R-17,8.52,95,Sunrise,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
98,"Дальше, чем космос",2018,13,True,PG-13,8.51,23,Madhouse,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Могила светлячков,1988,1,True,PG-13,8.52,88,Ghibli,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Невероятное приключение ДжоДжо: Несокрушимый алмаз,2016,39,True,R-17,8.5,23,David,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
101,Лагерь на свежем воздухе 2,2021,13,True,PG-13,8.51,23,C-Station,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Граница пустоты 5: Спираль парадокса,2008,1,True,R-17,8.51,114,ufotable,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
103,Моб Психо 100,2016,12,True,PG-13,8.49,24,Bones,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104,Обещанный Неверленд,2019,12,True,R-17,8.49,22,CloverWorks,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
105,Благословение небожителей: Спецвыпуск,2021,1,True,PG-13,8.5,21,League,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
106,Класс убийц 2,2016,25,True,PG-13,8.48,23,Lerche,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
107,Летнее время,2022,25,True,R-17,8.48,23,OLM,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
108,Девочка-волшебница Мадока★Волшебный фильм 3: История восстания,2013,1,True,PG-13,8.49,116,Shaft,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,Семья шпиона,2022,12,True,PG-13,8.49,24,Wit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
110,Судьба/Ночь схватки: Прикосновение небес 2,2019,1,True,R-17,8.48,117,ufotable,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
111,Космические братья,2012,99,True,PG-13,8.48,24,Pictures,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,Человек-бензопила,2022,12,True,R-17,8.47,24,MAPPA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
113,Мелочи жизни,2011,26,True,PG-13,8.47,23,Kyoto,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
114,Радуга: Семеро из шестой камеры второго блока,2010,26,True,R-17,8.46,22,Madhouse,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
115,Плутон,2023,8,True,PG-13,8.47,61,M2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
116,Отчёт о буйстве духов,1992,112,True,PG-13,8.46,23,Pierrot,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
117,Гинтама: Полуфинал,2021,2,True,PG-13,8.46,24,Pictures,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
118,Банановая рыба,2018,24,True,R-17,8.46,22,MAPPA,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
119,Яркая Тихая 3,2019,24,True,PG-13,8.46,22,Madhouse,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,Магистр дьявольского культа,2018,15,True,R-17,8.46,25,PICTURES,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
121,Магистр дьявольского культа 2,2019,8,True,R-17,8.46,24,PICTURES,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
122,Озорная Такаги. Фильм,2022,1,True,PG-13,8.45,73,Shin-Ei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,"Клинок, рассекающий демонов",2019,26,True,R-17,8.45,23,ufotable,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
124,История финала,2015,12,True,R-17,8.45,26,Shaft,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,История финала: Продолжение,2019,6,True,R-17,8.44,28,Shaft,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Врата Штейна: Зона загрузки дежавю,2013,1,True,PG-13,8.45,90,Fox,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,Золотое божество 3,2020,12,True,R-17,8.44,23,Geno,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
128,Невероятное приключение ДжоДжо: Рыцари звёздной пыли 2,2015,24,True,R-17,8.44,23,David,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
129,Великий из бродячих псов 4,2023,13,True,R-17,8.44,23,Bones,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
130,Re:Zero. Жизнь с нуля в альтернативном мире 2. Часть 2,2021,12,True,R-17,8.43,29,Fox,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
131,Магическая битва 0. Фильм,2021,1,True,R-17,8.43,104,MAPPA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
132,Волейбол!!,2014,25,True,PG-13,8.44,24,I.G,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,Необъятный океан,2018,1,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Задержи этот звук! Часть 2,2019,1,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Этот замечательный мир! Багровая легенда,2019,1,True,PG-13,8.42,90,J.C.Staff,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
136,Благословение небожителей,2020,11,True,PG-13,8.42,26,League,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
137,Призрак в доспехах: Синдром одиночки,2002,26,True,R-17,8.42,25,I.G,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
138,Мононокэ,2007,12,True,R-17,8.42,22,Toei,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
139,Ох уж этот экстрасенс Сайки Кусуо!,2016,120,True,PG-13,8.41,5,J.C.Staff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,Вайолет Эвергарден: Вечность и призрак пера,2019,1,True,PG-13,8.41,91,Kyoto,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,Госпожа Кагуя: в любви как на войне,2019,12,True,PG-13,8.4,25,Pictures,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,Тетрадь дружбы Нацумэ: Эфемерная связь,2018,1,True,PG-13,8.41,104,Shuka,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
143,Гинтама: Лучшее из «Гинтамы» на Theater 2D,2012,2,True,PG-13,8.42,96,Sunrise,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
144,Охотник х Охотник,1999,62,True,PG-13,8.42,23,Nippon,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
145,Ох уж этот экстрасенс Сайки Кусуо! 2,2018,24,True,PG-13,8.41,24,J.C.Staff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
146,"Очень приятно, Бог 2 OVA",2015,4,True,PG-13,8.4,30,TMS,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,Озорная Такаги 3,2022,12,True,PG-13,8.4,24,Shin-Ei,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,Лагерь на свежем воздухе. Фильм,2022,1,True,PG-13,8.4,120,C-Station,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,"Жозе, тигр и рыба",2020,1,True,PG-13,8.39,98,Bones,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Укрась прощальное утро цветами обещания,2018,1,True,PG-13,8.39,114,Works,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151,Гинтама 4: Любовные благовония,2016,2,True,PG-13,8.39,25,Pictures,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,Корзинка фруктов: Прелюдия,2022,1,True,PG-13,8.39,88,TMS,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,Страна самоцветов,2017,12,True,PG-13,8.39,24,Orange,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
154,Виви: Песнь флюоритового глаза,2021,13,True,R-17,8.39,24,Wit,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
155,Рамаяна: Легенда о царевиче Раме,1993,1,True,G,8.38,135,Co.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Яркая Тихая 2,2013,25,True,PG-13,8.38,22,Madhouse,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,Ковбой Бибоп: Достучаться до небес,2001,1,True,R+,8.38,115,Bones,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
158,Мартовский лев,2016,22,True,PG-13,8.37,25,Shaft,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
159,О моём перерождении в слизь 2,2021,12,True,PG-13,8.37,23,8bit,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
160,Перекрёстная игра,2009,50,True,PG-13,8.37,23,SynergySP,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
